site_code,node,site_name,site_type
SERH,JDA,"Sea Resources Hatchery (Chinook River, Washington)",MRR
SFL,JDA,Shipherd Falls Ladder,INT
SHERFT,JDA,"Sherars Falls Fishway Trap, Deschutes River",MRR
SHK,JDA,Shitike Creek PIT Array,INT
SHP,JDA,Swift Hydroelectric Project,INT
SHP,JDA,Swift Hydroelectric Project,MRR
SHPFBY,JDA,SHP - Release into the Forebay within 0.5 km upstream of Dam,MRR
SHPTAL,JDA,SHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR
SHTIKC,JDA,"Shitike Creek, Deschutes River Basin",MRR
SID,JDA,Sauvie Island Dairy Creek,INT
SKAM,JDA,"Skamania Hatchery, WDFW",MRR
SKIPAR,JDA,Skipanon River,MRR
SKIPAW,JDA,Skipanon Waterway,MRR
SND,JDA,Sandtrap Acclimation Site,INT
SNDTAP,JDA,"Sandtrap Acc. Ponds, EF Hood River",MRR
SNYDEC,JDA,"Snyder Creek, Klickitat River",MRR
SPRC,JDA,Spring Creek National Fish Hatchery,MRR
SSANTR,JDA,"South Santiam River, Oregon",MRR
SUC,JDA,"Summit Creek, Klickitat",INT
SUJ,JDA,Sullivan Dam Juvenile,INT
SUL,JDA,"Sullivan Hydroelectric Plant, Willamette Falls",MRR
SULBPS,JDA,SUL - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector,MRR
SULBYP,JDA,SUL - Release into the Facility Bypass Flume/Pipe,MRR
SULFBY,JDA,SUL - Release into the Forebay within 0.5 km upstream of Dam,MRR
SULFDS,JDA,SUL - Release above the Fish Diversion Screen,MRR
SULSEP,JDA,SUL - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator,MRR
SULTRB,JDA,SUL - Release into Turbine(s),MRR
SUMI3C,JDA,"Summit Creek, Klickitat River Basin",MRR
SWALEC,JDA,Swale Creek - tributary to Klickitat River,MRR
SWC,JDA,Swale Creek Array,INT
SYC,JDA,Snyder Creek PIT Tag Array,INT
TANNEC,JDA,"Tanner Creek, Columbia River below Bonneville Dam",MRR
TBRKFK,JDA,"Table Rock Fork, tributary to Molalla River",MRR
TC4,JDA,Trout Creek at 43 Road Bridge,INT
TCM,JDA,Tryon Creek Mouth,INT
TD1,JDA,The Dalles East Fish Ladder,INT
TD2,JDA,The Dalles North Fish Ladder,INT
TDA,JDA,The Dalles Dam,MRR
TDAICE,JDA,TDA - Release into the Ice/Trash Sluiceway,MRR
TDAMRT,JDA,TDA - Mortality Recovery,MRR
TDASPF,JDA,TDA - Release into the Forebay within 0.5 km upstream of Spillway,MRR
TDASPL,JDA,TDA - Release directly into Spill Bay(s),MRR
TDASPT,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Spillway,MRR
TDATAL,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR
TDATRB,JDA,TDA - Release into Turbine(s),MRR
TDBPAT,JDA,BPA towers in The Dalles Dam forebay,MRR
TDLPI,JDA,Lone Pine Island and associated unnamed islands near The Dalles Dam,MRR
TDTMI,JDA,Three Mile Island group near The Dalles Dam,MRR
TENNAI,JDA,"Tenasillahe Island, lower Columbia River",MRR
TEPEEC,JDA,"Tepee Creek, Klickitat River Basin",MRR
TEPEEF,JDA,"East Fork Tepee Creek, Klickitat River Basin",MRR
